ModName,ModId,Beta,Warning,Badge,Srcs,BuiltIn,Style,ParadoxId
Scene Explorer,,,,,,,,74285
FPS Limiter,,,,,,,,74286
529 Tiles,,,,,,,,74328
Unified Icon Library,,,,,,,,74417
Historical Start,,,,,,,,74535
Volchoria,,,,,,,,76483
Terraform Hardening,,,,,BROKEN,,,76922
[DEPRECATED] Extended Road Upgrades,,,,,BROKEN,,,76971
Crime Remover,,,,,,,,76972
Daylight Switch,,,,,BROKEN,,,78298
MetroCustom,,,,,BROKEN,,,78547
Overpopulated Gizmo and Fix,,,,,BROKEN,,,78554
TransportPolicyAdjuster,,,,,,,,78622
PedestrianPathfinding,,,,,,,,78627
Postal Helper,,,,,BROKEN,,,78802
FirstPersonCamera,,,,,BROKEN,,,78900
LegacyFlavour,,,,,BROKEN,,,77319
FireStarter,,,,,BROKEN,,,77345
Korea live stream radio,,,,,,,,77367
DCMI,,,,,,,,77387
LandValueOverhaul,,,,,BETA;BROKEN,,,77397
Road Name Remover,,,,,,,,77463
Change Company,,,,,,,,114101
Customizable Menu,,,,,,,,116595
UKSpeedCamera,,,,,BROKEN,,,116674
Cheats,,,,,,,,117020
Citizen Cleaner,,,,,,,,117161
Alaska Airlines (Boeing 737 Max 8),,,,,BROKEN,,,117459
AchievementManager,,,,,,,,117548
TrafficUnlocker,,,,,BROKEN,,,80709
Advanced Simulation Speed,,,,,,,,124304
Test Mod (unsubscribe),,,,,BETA;BROKEN,,,124451
Test Mod (unsubscribe),,,,,,,,124547
Gotta Go Fast,,,,,,,,124548
La Clock (Show System Time),,,,,,,,124553
Outside Traffic Adjuster,,,,,,,,124947
Audio Switcher,,,,,,,,135367
MultiSkyLinesII,,,,,BROKEN,,,135482
[DEPRECATED] Sounds of Japan (Audio Switcher Module),,,,,,,,135810
Simulation Speed+,,,,,BROKEN,,,135849
testCS2mod,,,,,BETA,,,135321
桥墩调节器 BridgePillarAdjuster,,,,,,,,132381
Bahnhof des Jahres (WE-Integration),,,,,,,,133286
French Residential Low,,,,,,,,133515
Fast Bikes,,,,,,,,134067
Public Works [Tons of Tools],,,,,,,,138390
Node Controller,,,,,,,,138523
Settings File Guard,,,,,,,,139219
EXR Screenshot,,,,,,,,139839
Родные названия | TrueRuNames,,,,,,,,137806
ExtractorBoost,,,,,,,,137401
Find Character,,,,,,,,123345
Outside Connection Vehicle Remover,,,,,,,,123410
Abandoned Building Remover - Deviance fix,,,,,,,,123489
Magical Hearse - Deviance Fix (retired),,,,,,,,123490
NoWaterElectricity - Deviance Fix,,,TRUE,,,,,123492
Crime Remover - Deviance Fix (Retired),,,,,,,,123496
Magic Hearse,,,,,,,,123497
[BETA] Realistic JobSearch,,,,,BETA,,,123500
(FIXED) Traffic Lights Enhancement Alpha (Unstable Branch),,,,,,,,123674
Custom Chirps,,,,,,,,121812
Image Overlay,,,,,,,,74539
Anarchy,,,,,,,,74604
PreservePhotoMode,,,,,,,,75101
[OBSOLETE] Magical Hearse,,,,,BROKEN,,,75102
Prop Lights Mod,,,,,,,,75104
Abandoned Building Remover,,,,,BROKEN,,,75107
Resolution Extension,,,,,BROKEN,,,75179
RoadWearRemoverPDX,,,,,,,,75185
Brush Size Unlimiter,,,,,BROKEN,,,75249
Better Bulldozer,,,,,,,,75250
I18n Everywhere,,,,,,,,75426
Magical Garbage Truck,,,,,BROKEN,,,75587
Water Features,,,,,,,,75613
ExtraDetailingTools,,,,,,,,80528
ExtraAssetsImporter,,,,,,,,80529
Clock widget,,,,,BROKEN,,,88034
ExtraHotkeys,,,,,,,,88157
[DONT USE] Lazy Pedestrians,,,,,BROKEN,,,88266
Unlimited Unique Buildings,,,,,,,,88488
No Dead Trees,,,,,,,,88500
Save Checker,,,,,,,,101159
Zoning By-Law Builder [Beta],,,,,BETA,,,101251
Porvoo Archipelago (958 map tiles),,,,,,,,101779
Crowded Stops,,,,,BROKEN,,,102080
Flags of Africa,,,,,,,,114999
Magic Garbage Truck,,,,,,,,124159
Plop the Growables,,,,,,,,75826
Tree Controller,,,,,,,,75993
Map Texture Replacer,,,,,,,,76050
SignatureFix,,,,,BROKEN,,,76065
CitiesSkylinesIImod1,,,,,BROKEN,,,76258
NoDogs,,,,,,,,76546
City Services Rebalance,,,,,BROKEN,,,76583
[UNSUBSCRIBE] StarQ Testing Mod,,,,,BETA,,,76632
ReplaceRICO,,,,,,,,76823
TrafficSimulationAdjuster,,,,,BETA;BROKEN,,,76836
SunGlasses,,,,,,,,76849
(Deprecated)LandValueRemake,,,,,BETA;BROKEN,,,77092
RenderMastery,,,,,BROKEN,,,77104
Extra Networks and Areas,,,,,,,,77175
DependencyPack,,,,,BROKEN,,,77209
Gooee,,,,,BROKEN,,,77225
Economy Rebalance,,,,,BROKEN,,,77509
ConfigurableElevatedRoad,,,,,BETA;BROKEN,,,77597
InfoLoom,,,,,BROKEN,,,77637
"Melbourne, Australia",,,,,,,,77878
InfiniteDemand,,,,,BROKEN,,,77901
Radio Media Control [Beta],,,,,BETA,,,77913
BetterMoonLight,,,,,BROKEN,,,77923
Station Naming,,,,,,,,78131
Traffic Lights Enhancement Alpha,,,,,BETA;BROKEN,,,78960
MagicTaxi,,,,,BROKEN,,,78966
Hard Mode,,,,,BROKEN,,,80205
Vehicle Variation Packs,,,,,,,,81012
Adriatic Cliffs,,,,,,,,81130
BetterSaveList,,,,,BROKEN,,,82374
"Lawrence, MA",,,,,,,,82444
TestDummy,,,,,BROKEN,,,82633
Disable Milestone Rewards - Difficulty Config,,,,,,,,82675
Carbon,,,,,BROKEN,,,82714
Profit Based Industry And Office (PBIAO),,,,,,,,83825
LineColorRandomizer,,,,,,,,84492
Performance Monitor,,,,,,,,84661
CustomAssetPack,,,,,BETA;BROKEN,,,84778
MultiTest,,,,,BETA,,,84887
Columbia Valley,,,,,BROKEN,,,84888
Silence XP,,,,,,,,84953
Traffic Mod,,,,,BETA;BROKEN,,,85078
StraightRoadsDefaultMode,,,,,,,,85081
City Stats,,,,,,,,85284
Save All Prefabs,,,,,,,,85340
CityVitalsWatch,,,,,,,,85643
SpeedLimitEditor,,,,,BROKEN,,,85650
Cim Census,,,,,,,,85825
NoTeleporting,,,,,BROKEN,,,86510
No Car Trailers,,,,,,,,86553
Boundary Lines Modifier,,,,,,,,86728
TestMod,,,,,BETA;BROKEN,,,86746
Realistic Parking,,,,,,,,87313
Carto,,,,,,,,87428
AutoSaveAlwaysOn,,,,,,,,89270
TimeAdjusterMod,,,,,BETA,,,89458
City Controller,,,,,,,,89495
HeavyTraffic,,,,,BROKEN,,,89607
cutestats,,,,,,,,89711
[UNSTABLE] TLE 0.3 Preview,,,,,BETA;EXP;BROKEN,,,89804
Industries Extended,,,,,BROKEN,,,92499
StarQ's Workflow Kit,,,,,,,,92671
1주년 축하도시,,,,,BETA,,,92858
Write Everywhere,,,,,BETA,,,92908
Goro Harbour,,,,,,,,92918
Montserrat,,,,,,,,93493
Mountain to Sea,,,,,,,,93498
NavigationView,,,,,BROKEN,,,93523
Northwinds Peninsula,,,,,,,,93585
ProgressionPopLimit,,,,,BROKEN,,,93763
"Berlin, Germany",,,,,,,,94041
BK CITY,,,,,,,,94745
Sea Canvas,,,,,,,,94748
Building Use,,,,,,,,94762
CslProject1,,,,,BROKEN,,,95830
Camera Field of View,,,,,,,,95872
Zone Organizer,,,,,,,,95965
TranslateCS2.Mod,,,,,BROKEN,,,96252
NoWaterElectricity,,,,,BROKEN,,,96267
Parking Monitor (Beta),,,,,,,,97195
City Services and Traffic - Adjuster,,,,,,,,97381
MyNewMod,,,,,BETA;BROKEN,,,97962
MyNewMod,,,,,BETA;BROKEN,,,97963
MyNewMod,,,,,BETA;BROKEN,,,97969
SK2-MOD-App1,,,,,BETA;BROKEN,,,98056
Enable Achievements,,,,,,,,98778
Resource Locator,,,,,,,,99048
KSLib,,,,,BETA,,,99100
CustomThemesMod,,,,,BETA;BROKEN,,,99268
Stash It,,,,,,,,100369
Traffic Jam Monitor,,,,,,,,103515
SaveEnroller,,,,,,,,103929
Show More Happiness,,,,,,,,103983
SaveRecovery18-março-00-55-57,,,,,BETA,,,104575
Events Controller,,,,,,,,105800
Industry Auto Tax Adjuster,,,,,,,,106609
Crime and Unemployment Matter,,,,,BROKEN,,,106650
UltraPainter,,,,,BROKEN,,,107468
Smart Upkeep Manager,,,,,,,,107487
Dummy Traffic Remover,,,,,,,,107683
"MapExt: Big Map, Economy and Performance",,,,,,,,107939
AirplaneParameterMod,,,,,BROKEN,,,109086
Station Signage [BETA] [WE Module],,,,,BETA,,,109310
UrbanInequality,,,,,,,,110245
Advanced Building Control,,,,,,,,112283
Parking Pricing,,,,,,,,112452
Disable Mouse Hint,,,,,,,,113299
FG Cinematica LUT Bundle,,,,,,,,113417
Lumina,,,,,BETA,,,113470
Specialized Industrial Zones [alpha],,,TRUE,,ALPHA;BETA,,,113675
Prefab Asset Fixes,,,TRUE,,,,,113708
[Bikes] Extra Hotkeys,,,,,,,,113726
Trends UI,,,,,,,,113744
Office Sales Go! [5/5 Bugfix],,,,,,,,113843
AdvancedTrafficSyncMod,,,,,BROKEN,,,115220
test,,,,,BETA,,,115555
Commercial Workplaces Fix,,,,,,,,117866
Ciao Italia Map Theme,,,,,,,,117948
"Oi, Rio! Map Theme",,,,,,,,118039
Bombardier CRJ-900 (Core Pack),,,,,BROKEN,,,118049
Korean Air (Boeing 787-9 Dreamliner),,,,,BROKEN,,,118162
CityFlow Orchestrator,,,,,BROKEN,,,119886
Realistic PathFinding,,,,,,,,121226
Achievement Fixer,,,,,,,,121256
"Testing, Dont download!!",,,,,BETA;BROKEN,,,122492
InfraSym.CS2.Enhanced,,,,,BETA,,,122584
Road Wear Toggler,,,,,,,,122865
Market Based Economy (BETA),,,,,BROKEN,,,122923
Workflow Kit,,,,,,,,123020
Workflow Kit,,,,,,,,123021
Redesigned Dev Menu,,,,,,,,123039
Demand Modifier (BETA),,,,,BROKEN,,,123170
Adjust Transit Capacity,,,,,,,,123738
Aus Road Signs,,,,,BROKEN,,,123877
Adjust School Capacity,,,,,,,,123887
Smooth Left-Hand Traffic,,,,,,,,123929
Realistic Workplaces And Households,,,,,,,,87755
CS2M,,,,,,,,96405
CS2M,,,,,,,,96450
CS2M,,,,,,,,96451
Trips View,,,,,BROKEN,,,96619
HideBuildingsNotification,,,,,BROKEN,,,96645
Straight Terrain Tool,,,,,,,,134259
Texture Unifier,,,,,,,,142632
Realistic Speed,,,,,,,,142984
Realistic Vehicle Colors,,,,,,,,143394
Controle Traffic Speed,,,,,,,,143752
Fertility Control,,,,,,,,143857
Vehicle Controller (preview),,,TRUE,,,,,125228
Platter [Alpha],,,TRUE,,ALPHA,,,125278
System Time Widget,,,,,BROKEN,,,125292
App2,,,,,BROKEN,,,125338
MemoryOptimiser,,,,,BROKEN,,,125339
Magic Mail,,,,,,,,125343
City Services Redux,,,,,,,,125675
(⚠️BROKEN⚠️) Universal Zoning System (UZS),,,,,BROKEN,,,125854
Road Speed Adjuster,,,,,,,,125866
Redesigned Top Buttons,,,,,,,,126123
Colored bike path (CBP),,,,,,,,126306
Colored Bus Lane (CBL),,,,,,,,126468
CayanTower Dubai,,,,,BROKEN,,,126663
Bigger Cloverleaf Asset,,,,,,,,126959
Detailed Descriptions,,,,,,,,104707
Vehicle Controller,,,,,,,,104781
Building Prop Fixes,,,,,,,,104816
HomeOfHomeless,,,,,,,,104818
CSL2_TEST,,,,,BETA,,,104910
[KS] Extra Hotkeys,,,,,BROKEN,,,104919
Asset Icon Creator,,,,,,,,105288
Bigger Partial Cloverleaf Asset,,,,,,,,126960
Bigger T-Intersection Asset,,,,,,,,126961
Bigger Trumpet Intersection Asset,,,,,,,,126962
GiantPrincessPeach,,,,,BROKEN,,,127049
Empty Roundabouts,,,,,,,,127261
上海国金中心,,,,,,,,127343
Highway Sign Structures,,,,,,,,127499
Asset Migration Utility,,,,,,,,127507
[Alpha] Universal Zoning System (UZS),,,TRUE,,ALPHA,,,127928
Zone Tools,,,,,,,,128269
Customize Editor Component,,,,,,,,128433
Traffic Lights Enhancement,,,,,,,,128911
Tollbooths Collection [Beta],,,,,BETA;BROKEN,,,129197
Collision Be Gone V2.0,,,,,,,,129323
Longer Days,,,,,,,,129485
Topo Toggle,,,,,,,,129789
Strict Bus Lanes BETA,,,,,,,,130199
[BETA] Traffic Law Enforcement,,,,,BETA;BROKEN,,,138258
XP Boost you need to download it,,,,,,,,138340
TMPE,,,TRUE,,,,,140541
TMPE,,,TRUE,,,,,140546
Custom Tourism[Alpha],,,,,ALPHA,,,141243
No Office Demand Fix,,,,,,,,137126
混合型騎樓型建築Taiwan Mixed Building,,,,,BROKEN,,,137133
EconomyEX,,,,,BROKEN,,,137149
LOD Control,,,,,,,,141751
Fast Boarding [Beta],,,,,BETA,,,141997
Beyond Numbers,,,,,,,,142309
RoadWorks+,,,,,,,,142520
深圳大百汇广场,,,,,BROKEN,,,130208
Dime Savings Bank - L5 - 6x6 - Signature Office High,,,,,,,,130400
Flixbus(WE-Asset),,,,,,,,130739
Boating Package,,,TRUE,,,,,132092
Train Station (ground side platform station) 3 lane one way,,,,,BROKEN,,,132135
Fix Broken Trailers,,,,,,,,136207
ChirpGPT,,,,,BROKEN,,,136370
Traffic Light Manager,,,,,,,,139487
Realistic Traffic AI,,,,,BROKEN,,,143483
Rail Traffic Visualizer,,,,,,,,143817
Mert's ToolBox,,,,,,,,138174
AdvancedTPM,,,,,,,,141486
Industrial Zoning Expanded,,,,,BROKEN,,,130356
ZombieLand: Toxic Outbreak,,,,,,,,143765
RandomFart,,,,,BROKEN,,,129540
2013 Audi RS7,,,,,,,,145570
Lumina,,,,,,,,94394
Beta Test Driving Mod (Stable),,,,,,,,145145
Custom Crematorium | 火葬场自定义,,,,,BROKEN,,,145283
CS2 GTA Edition (Stable Version),,,,,,,,146099
Expanded City Policies,,,,,,,,146344
T.G.I. FRIDAY'S RESTAURANT,,,,,BROKEN,,,145286
Ghostwriter,,,,,,,,145605
Adjustable Powerline Capacity 2.0,,,,,BROKEN,,,123904
City Watchdog,,,,,,,,144908
Citizen Education Level Adjuster / 市民教育程度调整,,,,,,,,147113
CityLapse,,,,,,,,147434
Civic Voice (BETA),,,,,,,,147311
Civic Survival [BETA],,,TRUE,,BETA,,,147665
Mouse Pan (Camera Drag Fixed),,,,,,,,139584
Hard Mode Continued,,,TRUE,,,,,144130
US-Style Traffic Lights,,,,,,,,148109
Disable Tooltips and Hover,,,,,,,,141603
Pandemic (TEST VERSION),,,,,BETA,,,102782
ExtraLandscapingTools,,,,,,,,75728
AutoDistrictNameStations,,,,,,,,76908
"[DEPRECIATED] Fish, Fish and more Fish!",,,,,,,,114589
pointentitygetter,,,,,BETA,,,132554
pointentitygetter,,,,,BETA,,,132559
Transit Scope,,,,,,,,139959
SocialIntegration,,,,,,,,140057
CityTimelineMod,,,,,BROKEN,,,145499
Traffic Tool Essentials,,,,,,,,125342
Traffic Lights Enhancement - 1.4.2f1 Hotfix (Unofficial),,,,,BETA,,,125352
App1,,,,,BETA,,,125362
Road Precision,,,,,,,,126355
No External Trains禁止外部列车,,,,,,,,147350
拖动镜头,,,,,,,,147689
GLU,,,,,,,,128314
Flixbus (Old)(New Version in Description),,,,,,,,130327
Easy Zoning,,,,,,,,136261
MapExt: Alternate Version(Test),,,,,BETA,,,131296
Emergency Ghosts,,,,,BROKEN,,,131525
JP - Generic commercial 01,,,,,,,,148748
Articulated Buses,,,,,,,,148570
Árvore Absorption System,,,,,,,,150254
TINB Assets WE-Module,,,,,,,,143761
Custom Land Parcel,,,,,,,,150138
Town Road Lane — Road Markings,,,,,BROKEN,,,150863
Flex It,,,,,BROKEN,,,151744
Vehicle Quantity & Transit Adjuster / 车辆数量与公共交通调节器,,,,,,,,146322
Plop Shuffle,,,,,,,,152275
Realistic Alignment,,,,,,,,154291
SoilAvailabilityMod,,,,,,,,155334
CrashLens,,,,,,,,155239
Junction Studio — Town Road Lane Extension,,,,,,,,155242
Magic Marking,,,,,,,,155247
SaveGuard — Non-Destructive Save Protection & Recovery,,,,,,,,155424
DEPRECATED — Lane Doctor,,,,,,,,155425
Contour Plus — Topography & Road Grade Analyzer,,,,,,,,155427
City Pulse — Complete City Diagnostics,,,,,,,,155450
FastTrack,,,,,BROKEN,,,155229
Traffic Stress Lab,,,,,,,,155230
Scorched Earth,,,,,,,,156092
Firefighters Overhaul,,,,,,,,154653
[Tech Preview]A350-900 China Airlines Carbon Fibre,,,,,,,,154930
Event Rush [BETA],,,,,BETA,,,156682
Construction Animation,,,,,,,,155375
[BETA] Grid Road Generator,,,,,BETA,,,151745
Wet Roads (experimental),,,,,,,,143447
Small Underground Parking Building,,,,,,,,127696
Disable Placement Sway,,,,,,,,146160
Historical Tool,,,,,,,,157162
Historical Start - SAC Managed [Deprecated],,,,,,,,157407
Tree Controller - SAC Managed [Deprecated],,,,,,,,157482
No Speed Limit Marking Decals,,,,,,,,155637
Pittsburgh Inspired Low Density Residential Houses 24 Pack,,,,,,,,141495
